KEYS,zh-Hans
Game.Announcement.HasBeenDefeated_Plural,{0}已被打败！
Game.Announcement.HasBeenDefeated_Single,{0}已被打败！
Game.Announcement.HasAwoken,{0}已苏醒！
Game.Announcement.HasArrived,{0}已到达！
Game.ArmorSetBonus.MetalTier1,2点防御力
Game.ArmorSetBonus.MetalTier2,3点防御力
Game.ArmorSetBonus.MythrilMelee,近战暴击率增加10%
Game.ArmorSetBonus.AdamantiteMelee,近战和移动速度各提高20%
Game.ArmorSetBonus.Wood,1点防御力
Game.ArmorSetBonus.Crimson,大大提高生命再生速度
Game.ArmorSetBonus.Frost,"近战和远程攻击会造成冻伤
近战和远程伤害各增加10%"
Game.ArmorSetBonus.Palladium,攻击敌人后大大提高生命再生速度
Game.ArmorSetBonus.Orichalcum,花瓣将落到目标身上以造成额外伤害
Game.ArmorSetBonus.Titanium,攻击生成钛金碎片防御屏障
Game.ArmorSetBonus.Chlorophyte,召唤强大的水晶叶瓣来射击附近的敌人
Game.ArmorSetBonus.Wizard,魔法暴击率增加10%
Game.ArmorSetBonus.Turtle,"攻击者也会承受双倍伤害
所受伤害减少15%"
Game.ArmorSetBonus.Meteor,太空枪不消耗魔力
Game.ArmorSetBonus.SpectreHealing,"魔法伤害减少40%并将其转化为治愈力
对敌人造成的魔法伤害将使玩家获得最低生命值"
Game.ArmorSetBonus.Shroomite,"不移动则会隐身，
增加远程能力和降低敌人瞄准你的几率"
Game.ArmorSetBonus.Platinum,4点防御力
Game.ArmorSetBonus.Pumpkin,伤害增加10%
Game.ArmorSetBonus.SpectreDamage,所造成的魔法伤害还能伤及附近的敌人
Game.ArmorSetBonus.MagicHat,最大魔力值增加60
Game.ArmorSetBonus.BeetleDefense,甲虫保护你不受伤害
Game.ArmorSetBonus.BeetleDamage,甲虫增加你的近战伤害和速度
Game.ArmorSetBonus.Bone,远程暴击率增加10%
Game.ArmorSetBonus.Ninja,移动速度提高20%
Game.ArmorSetBonus.Solar,"日耀护盾可以随着时间推移补充能量，保护你，让你能猛冲
能量可以用来伤害你触碰到的敌人
消耗的能量会爆炸并伤害敌人"
Game.ArmorSetBonus.Vortex,"双击{0}切换隐身，
增加远程能力和降低敌人瞄准你的几率，但会减慢移动速度"
Game.ArmorSetBonus.Nebula,"魔法伤害有机会生成增益强化道具，
拾取强化道具可获得堆叠增益"
Game.ArmorSetBonus.Stardust,星尘守卫将保护你不受附近敌人的伤害
Game.ArmorSetBonus.Forbidden,双击{0}可将远古风暴召唤到光标位置
Game.ArmorSetBonus.Molten,"10%额外近战伤害，
无法被点燃"
Game.ArmorSetBonus.CobaltMelee,近战速度提高15%
Game.ArmorSetBonus.ApprenticeTier2,"提高哨兵数量上限
爆炸烈焰视野和射程显著增加"
Game.ArmorSetBonus.ApprenticeTier3,"提高哨兵数量上限
大幅提升爆炸烈焰效力"
Game.ArmorSetBonus.HuntressTier2,"提高哨兵数量上限
爆炸机关重新装载得更快并为敌人涂油
点燃涂油的敌人以造成额外伤害"
Game.ArmorSetBonus.HuntressTier3,"提高哨兵数量上限
大幅提升爆炸机关效力"
Game.ArmorSetBonus.MonkTier2,"提高哨兵数量上限
闪电光环现在可以更快地实施暴击"
Game.ArmorSetBonus.MonkTier3,"提高哨兵数量上限
大幅提升闪电光环效力"
Game.ArmorSetBonus.SquireTier2,"提高哨兵数量上限
弩车可以刺穿更多目标，但会在你承受伤害时陷入恐慌"
Game.ArmorSetBonus.SquireTier3,"提高哨兵数量上限
大幅提升弩车效力"
Game.ArmorSetBonus.Cactus,攻击者因为仙人掌尖刺受到伤害
Game.ArmorSetBonus.CrystalNinja,"可猛冲
伤害和暴击率各增加10%"
Game.ArmorSetBonus.Gladiator,对击退免疫
Game.ArmorSetBonus.HallowedSummoner,"攻击敌人后进入免疫状态，
仆从数量上限提高2个"
Game.ArmorSetBonus.ChlorophyteMelee,"召唤强大的叶状水晶来射击附近的敌人
所受伤害减少5%"
Game.ArmorSetBonus.Hallowed,攻击敌人后进入免疫状态
Game.ArmorSetBonus.TitaniumMelee,近战和移动速度各提高18%
Game.ArmorSetBonus.ShadowScale,移动速度和加速度增加
Game.ArmorSetBonus.Tiki,"仆从数量上限增加
鞭子范围增加20%"
Game.ArmorSetBonus.Spooky,召唤伤害增加25%
Game.ArmorSetBonus.Bee,召唤伤害增加10%
Game.ArmorSetBonus.Spider,召唤伤害增加12%
Game.ArmorSetBonus.Snow,不能冷冻或冷藏
Game.ArmorSetBonus.Mining,采矿速度增加10%
Game.ArmorSetBonus.ObsidianOutlaw,"鞭子范围增加30%，速度增加15%，
召唤伤害增加15%"
Game.ArmorSetBonus.Angler,敌人生成速度降低
Game.ArmorSetBonus.AshWood,减少因触碰熔岩而受到的伤害
Game.ArmorSetBonus.CobaltRanged,20%的几率节省弹药
Game.ArmorSetBonus.MythrilCaster,魔力值消耗减少17%
Game.ArmorSetBonus.MythrilRanged,20%的几率节省弹药
Game.ArmorSetBonus.AdamantiteCaster,魔力值消耗减少19%
Game.ArmorSetBonus.AdamantiteRanged,25%的几率节省弹药
Game.ArmorSetBonus.TitaniumCaster,魔力值消耗减少19%
Game.ArmorSetBonus.TitaniumRanged,25%的几率节省弹药
Game.ArmorSetBonus.Jungle,魔力值消耗减少16%
Game.ArmorSetBonus.CobaltCaster,魔力值消耗减少14%
Game.ArmorSetBonus.Fossil,20%的几率节省弹药
Game.BuffDescription.FartMinecartRight,{$BuffDescription.MinecartRight}
Game.BuffDescription.BabyDinosaur,恐龙宝宝将跟着你
Game.BuffDescription.BabyEater,噬魂怪宝宝将跟着你
Game.BuffDescription.BabyFaceMonster,脸怪宝宝将跟着你
Game.BuffDescription.BabyGrinch,格林奇宝宝将跟着你
Game.BuffDescription.BabyHornet,它认为你是它的妈妈
Game.BuffDescription.BabyPenguin,我想它想要你的鱼
Game.BuffDescription.BabySkeletronHead,别问了...
Game.BuffDescription.BabySlime,史莱姆宝宝将为你而战
Game.BuffDescription.BabySnowman,雪人宝宝将跟着你
Game.BuffDescription.BabyTruffle,这简直太可爱了！
Game.BuffDescription.BallistaPanic,你的弩车在惊慌之下快速射击！
Game.BuffDescription.BasiliskMount,撞向任何人...每个人！
Game.BuffDescription.Battle,敌人生成速度提高
Game.BuffDescription.BeeMount,嗡嗡嗡嗡
Game.BuffDescription.BeetleEndurance1,所受伤害减少15%
Game.BuffDescription.BeetleEndurance2,所受伤害减少30%
Game.BuffDescription.BeetleEndurance3,所受伤害减少45%
Game.BuffDescription.BeetleMight1,近战伤害和速度各增加10%
Game.BuffDescription.BeetleMight2,近战伤害和速度各增加20%
Game.BuffDescription.BeetleMight3,近战伤害和速度各增加30%
Game.BuffDescription.BetsysCurse,防御力降低
Game.BuffDescription.Bewitched,仆从数量上限提高
Game.BuffDescription.BlackCat,黑猫将跟着你
Game.BuffDescription.Blackout,光视能力严重下降
Game.BuffDescription.Bleeding,无法再生生命
Game.BuffDescription.BoneJavelin,血流不止
Game.BuffDescription.BrokenArmor,防御力减半
Game.BuffDescription.Builder,放置速度和范围增加
Game.BuffDescription.BunnyMount,你渴望胡萝卜
Game.BuffDescription.Burning,正在损失生命值且移动已放缓
Game.BuffDescription.Calm,敌人生成速度降低
Game.BuffDescription.Campfire,生命再生速度略有提高
Game.BuffDescription.ChaosState,使用混沌传送杖将消耗生命值
Game.BuffDescription.Chilled,你的移动速度已降低
Game.BuffDescription.Clairvoyance,魔能增加
Game.BuffDescription.CompanionCube,永远不会威胁刺伤你，而且事实上也无法讲话
Game.BuffDescription.Confused,移动方向逆转
Game.BuffDescription.Crate,钓上宝匣的几率更大
Game.BuffDescription.CrimsonHeart,可提供照明的魔法心
Game.BuffDescription.Cursed,无法使用任何物品
Game.BuffDescription.CursedInferno,正在损失生命值
Game.BuffDescription.CursedSapling,诅咒树苗将跟着你
Game.BuffDescription.CuteFishronMount,不要让它爬行。
Game.BuffDescription.Dangersense,你可以看到附近的危险
Game.BuffDescription.Darkness,光视能力下降
Game.BuffDescription.Dazed,移动大大放缓
Game.BuffDescription.DeadlySphere,致命球将为你而战
Game.BuffDescription.DrillMount,骑乘飞钻头
Game.BuffDescription.DryadsWard,自然的力量保护你
Game.BuffDescription.DryadsWardDebuff,自然的力量强迫你
Game.BuffDescription.Endurance,伤害减少10%
Game.BuffDescription.EyeballSpring,弹簧眼将跟着你
Game.BuffDescription.FairyBlue,仙灵将跟着你
Game.BuffDescription.FairyGreen,仙灵将跟着你
Game.BuffDescription.FairyRed,仙灵将跟着你
Game.BuffDescription.Featherfall,按UP或DOWN来控制下降速度
Game.BuffDescription.Fishing,渔力提高
Game.BuffDescription.Flipper,在水中正常移动
Game.BuffDescription.Frostburn,要么特别热，要么特别冷。无论哪种方式都带来极大伤害
Game.BuffDescription.Frozen,你不能动！
Game.BuffDescription.Gills,可在水中而非空气中呼吸
Game.BuffDescription.Gravitation,按UP可逆转重力
Game.BuffDescription.HeartLamp,生命再生速度提高
Game.BuffDescription.Heartreach,心拾取范围扩大
Game.BuffDescription.Honey,生命再生速度提高
Game.BuffDescription.HornetMinion,黄蜂将为你而战
Game.BuffDescription.Horrified,你已经看到一些令人讨厌的东西，而且无路可逃。
Game.BuffDescription.Hunter,显示敌人位置
Game.BuffDescription.IceBarrier,所受伤害减少25%
Game.BuffDescription.Ichor,防御力减少
Game.BuffDescription.ImpMinion,小鬼将为你而战
Game.BuffDescription.Inferno,附近的敌人被点燃
Game.BuffDescription.Invisibility,可隐身
Game.BuffDescription.Ironskin,防御力增加8点
Game.BuffDescription.LeafCrystal,朝附近的敌人射出水晶叶
Game.BuffDescription.Lifeforce,最大生命值增加20%
Game.BuffDescription.Lovestruck,你已坠入爱河！
Game.BuffDescription.MagicLantern,附魔灯笼将为你照亮前路
Game.BuffDescription.MagicPower,魔法伤害增加20%
Game.BuffDescription.ManaRegeneration,魔力再生增加
Game.BuffDescription.ManaSickness,魔法伤害减少 
Game.BuffDescription.Merfolk,可在水下呼吸和轻松移动
Game.BuffDescription.Midas,死亡时掉落更多钱
Game.BuffDescription.MinecartLeft,驾驶矿车
Game.BuffDescription.MinecartLeftMech,驾驶矿车
Game.BuffDescription.MinecartLeftWood,驾驶矿车
Game.BuffDescription.MinecartRight,驾驶矿车
Game.BuffDescription.MinecartRightMech,驾驶矿车
Game.BuffDescription.MinecartRightWood,驾驶矿车
Game.BuffDescription.MiniMinotaur,你如何打败迷你牛头怪？
Game.BuffDescription.Mining,挖矿速度增加25%
Game.BuffDescription.MonsterBanner,伤害和防御力因下列原因增加：
Game.BuffDescription.MoonLeech,你无法吸收治疗效果
Game.BuffDescription.NebulaUpDmg1,伤害增加15%
Game.BuffDescription.NebulaUpDmg2,伤害增加30%
Game.BuffDescription.NebulaUpDmg3,伤害增加45%
Game.BuffDescription.NebulaUpLife1,生命再生速度提高
Game.BuffDescription.NebulaUpLife2,生命再生速度提高
Game.BuffDescription.NebulaUpLife3,生命再生速度提高
Game.BuffDescription.NebulaUpMana1,魔力再生增加
Game.BuffDescription.NebulaUpMana2,魔力再生增加
Game.BuffDescription.NebulaUpMana3,魔力再生增加
Game.BuffDescription.NightOwl,夜视力提升
Game.BuffDescription.NoBuilding,你已失去创造能力！
Game.BuffDescription.ObsidianSkin,对熔岩免疫
Game.BuffDescription.Obstructed,你看不到！
Game.BuffDescription.OgreSpit,移动速度显著降低
Game.BuffDescription.Oiled,因着火受到更多伤害
Game.BuffDescription.OnFire,缓慢损失生命值
Game.BuffDescription.PaladinsShield,所受伤害的25%将被重新定向到其他玩家
Game.BuffDescription.Panic,移动速度提高
Game.BuffDescription.ParryDamageBuff,下次近战暴击伤害增加400%
Game.BuffDescription.PeaceCandle,怪物生成速度降低
Game.BuffDescription.PetBunny,我想它想要你的胡萝卜
Game.BuffDescription.PetDD2Dragon,Hoardagron将跟着你
Game.BuffDescription.PetDD2Gato,飞翔Gato将跟着你
Game.BuffDescription.PetDD2Ghost,闪烁灯芯将跟着你
Game.BuffDescription.PetLizard,像爬行动物一样冷漠
Game.BuffDescription.PetParrot,波利想要饼干
Game.BuffDescription.PetSapling,小树苗将跟着你
Game.BuffDescription.PetSpider,蜘蛛将跟着你
Game.BuffDescription.PetTurtle,欢乐乌龟时光！
Game.BuffDescription.PirateMinion,海盗将为你而战
Game.BuffDescription.Poisoned,缓慢损失生命值
Game.BuffDescription.PotionSickness,不能再消耗治疗物品
Game.BuffDescription.Puppy,小狗将跟着你
Game.BuffDescription.Pygmies,矮人将为你而战
